problem,difficulty,label,score,epoch,time,avgTrainTime,iterations
flipflop,10,RHC,6.0,1000,0.009901199999999664,3.490000000005988e-06,10
flipflop,10,SA,9.0,264,0.0017123000000003885,4.6600000000007745e-06,10
flipflop,10,GA,9.0,0,0.005268599999999957,0.0005268599999999956,10
flipflop,10,MIMIC,9.0,86,0.22547849999999947,0.001788829999999997,10
flipflop,20,RHC,17.0,1005,0.004399199999998271,3.819999999987722e-06,10
flipflop,20,SA,19.0,273,0.001400800000000313,9.000000000014552e-06,10
flipflop,20,GA,19.0,137,0.10052179999999966,0.0006060200000000071,10
flipflop,20,MIMIC,19.0,6,0.024754300000000118,0.002475430000000012,10
flipflop,50,RHC,39.0,1031,0.003883499999997486,3.4199999999318107e-06,10
flipflop,50,SA,49.0,556,0.002859900000002913,4.620000000032931e-06,10
flipflop,50,GA,47.0,2607,1.8254496000000018,0.0006917400000001628,10
flipflop,50,MIMIC,49.0,697,7.9414099999999825,0.011418930000000316,10
flipflop,75,RHC,63.0,1043,0.0041511999999848115,3.740000000007626e-06,10
flipflop,75,SA,71.0,1801,0.009234199999985648,6.330000000609459e-06,10
flipflop,75,GA,72.0,2071,1.8200935000000253,0.0008289699999998845,10
flipflop,75,MIMIC,73.0,1991,40.6228167999999,0.020352719999998926,10
flipflop,100,RHC,84.0,1048,0.004470699999927774,4.200000000054161e-06,10
flipflop,100,SA,97.0,1847,0.01374589999974063,5.5099999983099225e-06,10
flipflop,100,GA,92.0,2280,2.4082082999998136,0.0010233000000013704,10
flipflop,100,MIMIC,98.0,2600,84.69104199999995,0.03213888999999881,10
flipflop,125,RHC,102.0,1079,0.005012099999703423,4.310000002760717e-06,10
flipflop,125,SA,122.0,2982,0.017074099999945247,5.4299999959539494e-06,10
flipflop,125,GA,112.0,3760,4.533930100000447,0.0011673300000012432,10
flipflop,125,MIMIC,120.0,1158,56.02678399999999,0.04813242000000173,10
flipflop,150,RHC,116.0,1068,0.005346199999848977,4.670000006967712e-06,10
flipflop,150,SA,145.0,2412,0.014942699999778597,6.530000001703229e-06,10
flipflop,150,GA,140.0,5882,8.128525599999563,0.0014806399999997665,10
flipflop,150,MIMIC,146.0,1313,85.11945720000071,0.06492713000000094,10
