oa,epoch,time,trainAcc,testAcc,trainErr,testErr
backprop,0,0.0149833,100.0,100.0,3.862781841214678e-13,6.219151762596039e-15
backprop,1,0.017533999999999994,100.0,100.0,2.2722002300789845e-25,5.744814357968955e-32
backprop,2,0.019615099999999983,100.0,100.0,6.720018513425529e-44,1.7412314893740925e-59
backprop,3,0.021353099999999972,100.0,100.0,7.52150415159503e-74,5.193419125750644e-102
backprop,4,0.022951299999999966,100.0,100.0,2.17846229146239e-119,8.776586162840246e-167
backprop,5,0.024610499999999966,100.0,100.0,6.281809153475985e-188,2.4647509640131353e-264
backprop,6,0.026375499999999955,100.0,100.0,4.704427825818044e-290,0.0
backprop,7,0.02831389999999996,100.0,100.0,0.0,0.0
backprop,8,0.030332599999999973,100.0,100.0,0.0,0.0
backprop,9,0.032097699999999965,100.0,100.0,0.0,0.0
backprop,10,0.03360609999999996,100.0,100.0,0.0,0.0
backprop,11,0.03507759999999997,100.0,100.0,0.0,0.0
backprop,12,0.03655789999999996,100.0,100.0,0.0,0.0
backprop,13,0.0380438,100.0,100.0,0.0,0.0
backprop,14,0.03958140000000003,100.0,100.0,0.0,0.0
backprop,15,0.04139590000000003,100.0,100.0,0.0,0.0
backprop,16,0.042865200000000034,100.0,100.0,0.0,0.0
backprop,17,0.04505060000000004,100.0,100.0,0.0,0.0
backprop,18,0.046640500000000015,100.0,100.0,0.0,0.0
backprop,19,0.04823550000000003,100.0,100.0,0.0,0.0
backprop,20,0.04992690000000004,100.0,100.0,0.0,0.0
backprop,21,0.05151460000000001,100.0,100.0,0.0,0.0
backprop,22,0.05310829999999998,100.0,100.0,0.0,0.0
backprop,23,0.054758300000000024,100.0,100.0,0.0,0.0
backprop,24,0.05633580000000003,100.0,100.0,0.0,0.0
backprop,25,0.05792640000000003,100.0,100.0,0.0,0.0
backprop,26,0.059623100000000026,100.0,100.0,0.0,0.0
backprop,27,0.06121470000000005,100.0,100.0,0.0,0.0
backprop,28,0.06287360000000007,100.0,100.0,0.0,0.0
backprop,29,0.06449890000000012,100.0,100.0,0.0,0.0
backprop,30,0.06614760000000007,100.0,100.0,0.0,0.0
backprop,31,0.06773960000000011,100.0,100.0,0.0,0.0
backprop,32,0.06940050000000018,100.0,100.0,0.0,0.0
backprop,33,0.07102030000000024,100.0,100.0,0.0,0.0
backprop,34,0.07259440000000027,100.0,100.0,0.0,0.0
backprop,35,0.07441720000000028,100.0,100.0,0.0,0.0
backprop,36,0.07602730000000034,100.0,100.0,0.0,0.0
backprop,37,0.07761160000000032,100.0,100.0,0.0,0.0
backprop,38,0.07922640000000024,100.0,100.0,0.0,0.0
backprop,39,0.08111500000000026,100.0,100.0,0.0,0.0
backprop,40,0.08270040000000033,100.0,100.0,0.0,0.0
backprop,41,0.08431380000000031,100.0,100.0,0.0,0.0
backprop,42,0.08595430000000036,100.0,100.0,0.0,0.0
backprop,43,0.08746730000000046,100.0,100.0,0.0,0.0
backprop,44,0.08900560000000045,100.0,100.0,0.0,0.0
backprop,45,0.09118350000000051,100.0,100.0,0.0,0.0
backprop,46,0.09273750000000046,100.0,100.0,0.0,0.0
backprop,47,0.09422070000000048,100.0,100.0,0.0,0.0
backprop,48,0.09570990000000044,100.0,100.0,0.0,0.0
backprop,49,0.0971968000000004,100.0,100.0,0.0,0.0
backprop,50,0.09869020000000038,100.0,100.0,0.0,0.0
backprop,51,0.10022050000000036,100.0,100.0,0.0,0.0
backprop,52,0.1017490000000003,100.0,100.0,0.0,0.0
backprop,53,0.10324450000000028,100.0,100.0,0.0,0.0
backprop,54,0.10471970000000029,100.0,100.0,0.0,0.0
backprop,55,0.10618610000000038,100.0,100.0,0.0,0.0
